Date,Ticker,Market,Close,rsi_14,price_sma50_ratio,obv_zscore_50,macd_norm,macd_signal_norm,bb_pct_b,bb_width,atr_pct,return_1d,return_5d,return_10d,volatility_10d,volume_ratio_20d
2022-07-21,COOP,Kenya,11.15,56.756756756756765,-0.01126186042387134,-1.3743719576670548,0.0010400314976388115,-0.0023312369805229406,0.5606777790715223,0.08542967042942504,0.0387572069186419,-0.008888888888888835,0.013636363636363669,-0.013274336283185861,0.017545858141619085,0.5730474316346611
2022-07-22,COOP,Kenya,11.25,56.756756756756765,-0.00035542918073550034,-1.326181097928733,0.0013497898458072971,-0.0015784539300620634,0.6472605015318468,0.0809324084969234,0.037777777777777785,0.008968609865470878,0.018099547511312153,-0.013157894736842146,0.01755347152919959,0.09531867866208492
2022-07-25,COOP,Kenya,11.35,58.97435897435897,0.010145959416162365,-1.2380492200371485,0.0022732175825902396,-0.0007969939610642052,0.7343001798662394,0.07948091100039409,0.0355569540591567,0.008888888888888946,-0.008733624454148492,-0.013043478260869601,0.017560880884225118,0.2178749249620396
2022-07-26,COOP,Kenya,11.0,45.238095238095255,-0.018820800999018727,-1.9963340105399388,0.0005367318913094075,-0.0005505359095983897,0.3178508542210004,0.0750707012800185,0.037337662337662336,-0.03083700440528636,-0.03508771929824561,-0.013452914798206317,0.01763564924532916,2.447797342410159
2022-07-27,COOP,Kenya,11.5,54.0,0.026969101625290204,-0.1658024990843525,0.002620349119454871,0.00010279017132872825,0.8796973347880307,0.07356638652585898,0.03633540372670807,0.045454545454545414,0.022222222222222143,0.03603603603603611,0.022893553477349914,4.368122258993193
2022-07-28,COOP,Kenya,11.5,52.08333333333332,0.02834659751408397,-0.11872847816104533,0.004241234554750345,0.0009304790480130517,0.8545688767100029,0.06973852568370029,0.036335403726708064,0.0,0.03139013452914785,0.045454545454545414,0.02250839837071461,3.70831429876656
2022-07-29,COOP,Kenya,11.9,57.40740740740742,0.06430551828995634,0.010120354852559936,0.00796061593043952,0.002311485139173625,1.1729949412464997,0.08271450716241387,0.0357142857142857,0.034782608695652195,0.057777777777777706,0.07692307692307687,0.02443662126180499,0.1420743774236722
2022-08-01,COOP,Kenya,11.65,59.61538461538463,0.04250559284116329,-0.146592120169369,0.009417600898604737,0.003772390439371841,0.8618466705235973,0.0843381261510406,0.03556100551808705,-0.021008403361344574,0.026431718061673992,0.017467248908296984,0.023710133842801285,0.34366026194756377
2022-08-02,COOP,Kenya,11.55,58.49056603773588,0.0336495435833184,-0.49519348653631123,0.009716615670550623,0.004987364596875974,0.7333822219966104,0.08223671677335473,0.03525046382189238,-0.008583690987124415,0.050000000000000044,0.013157894736842035,0.023872567758628137,0.6217239028747386
2022-08-03,COOP,Kenya,11.6,61.53846153846155,0.038124216932163835,-0.2865133838335407,0.010077979113836889,0.005988289691313413,0.7598415304637216,0.08390254359695208,0.03540640394088669,0.0043290043290042934,0.008695652173912993,0.03111111111111109,0.023308323669292544,0.26713822575891544
